Name,Data Type,Description,External Access,Style
sim_step,REAL,Simulation angle step 0..6.28,Read/Write,Float
Sim_Enable,BOOL,Set 1 to enable simulation,Read/Write,Decimal
PY1101A,REAL,CHUTE SILO FAN OUTLET PRESSURE #1,Read/Write,Float
PY1101B,REAL,CHUTE SILO FAN OUTLET PRESSURE #2,Read/Write,Float
PY1103A,REAL,ID FAN OUTLET PRESSURE #1,Read/Write,Float
PY1103B,REAL,ID FAN OUTLET PRESSURE #2,Read/Write,Float
TY1101A,REAL,1# ID FAN FRONT BEARING TEMPERATURE,Read/Write,Float
PY1104,REAL,CHUTE  SILO FAN OUTLET OF PRESSURE,Read/Write,Float
PY1105A,REAL,FILTER AIR BAG OF PRESSURE #1,Read/Write,Float
PY1105B,REAL,FILTER AIR BAG OF PRESSURE #2,Read/Write,Float
PY1105C,REAL,FILTER AIR BAG OF PRESSURE #3,Read/Write,Float
PY1105D,REAL,FILTER AIR BAG OF PRESSURE #4,Read/Write,Float
PY1105E,REAL,FILTER AIR BAG OF PRESSURE #5,Read/Write,Float
PY1105F,REAL,FILTER AIR BAG OF PRESSURE #6,Read/Write,Float
PY1105G,REAL,FILTER AIR BAG OF PRESSURE #7,Read/Write,Float
PY1105H,REAL,FILTER AIR BAG OF PRESSURE #8,Read/Write,Float
PY1105I,REAL,FILTER AIR BAG OF PRESSURE #9,Read/Write,Float
PY1105J,REAL,FILTER AIR BAG OF PRESSURE #10,Read/Write,Float
TY1101B,REAL,1# ID FAN REAR BEARING TEMPERATURE,Read/Write,Float
TY1101C,REAL,1# ID FAN MOTOR FRONT BEARING TEMPERATURE,Read/Write,Float
TY1101D,REAL,1# ID FAN MOTOR REAR BEARING TEMPERATURE,Read/Write,Float
TY1101E,REAL,1# ID FAN  MOTOR Winding temperature A,Read/Write,Float
TY1101F,REAL,1# ID FAN  MOTOR Winding temperature B,Read/Write,Float
TY1101G,REAL,1# ID FAN  MOTOR Winding temperature C,Read/Write,Float
TY1101H,REAL,1# ID FAN INLET TEMPERATURE,Read/Write,Float
TY1102A,REAL,2# ID FAN FRONT BEARING TEMPERATURE,Read/Write,Float
TY1102B,REAL,2# ID FAN REAR BEARING TEMPERATURE,Read/Write,Float
TY1102C,REAL,2# ID FAN MOTOR FRONT BEARING TEMPERATURE,Read/Write,Float
TY1102D,REAL,2# ID FAN MOTOR REAR BEARING TEMPERATURE,Read/Write,Float
TY1102E,REAL,2# ID FAN  MOTOR Winding temperature A,Read/Write,Float
TY1102F,REAL,2# ID FAN  MOTOR Winding temperature B,Read/Write,Float
TY1102G,REAL,2# ID FAN  MOTOR Winding temperature C,Read/Write,Float
